Hour #1
LiftID,Number of Rides
29,3466
34,3466
9,3444
24,3423
33,3423
38,3420
26,3418
39,3408
12,3399
7,3386

Hour #2
LiftID,Number of Rides
11,3456
28,3445
32,3439
38,3407
36,3406
17,3401
23,3397
18,3396
24,3395
19,3386

Hour #3
LiftID,Number of Rides
21,3540
4,3437
29,3419
36,3418
27,3415
1,3404
23,3384
22,3370
17,3369
37,3366

Hour #4
LiftID,Number of Rides
18,3428
24,3413
20,3398
27,3384
39,3382
6,3380
2,3376
14,3374
36,3374
3,3368

Hour #5
LiftID,Number of Rides
18,3415
32,3411
5,3395
33,3390
20,3386
12,3385
7,3382
16,3382
26,3378
38,3376

Hour #6
LiftID,Number of Rides
17,3431
22,3411
39,3402
29,3401
28,3399
30,3399
24,3388
23,3374
2,3359
7,3357

