Hour #1
LiftID,Number of Rides
29,3408
34,3394
9,3390
33,3375
26,3363
38,3361
24,3358
12,3348
39,3335
7,3324
Hour #2
LiftID,Number of Rides
11,3454
32,3443
28,3430
24,3407
36,3404
39,3402
23,3399
17,3398
38,3398
18,3393
Hour #3
LiftID,Number of Rides
21,3520
4,3425
29,3422
36,3417
27,3408
1,3397
17,3368
25,3362
23,3360
40,3359
Hour #4
LiftID,Number of Rides
18,3415
24,3409
27,3399
20,3394
39,3377
2,3376
36,3376
6,3375
12,3373
14,3373
Hour #5
LiftID,Number of Rides
18,3444
32,3423
5,3397
29,3391
33,3389
20,3388
26,3388
16,3386
12,3384
3,3382
Hour #6
LiftID,Number of Rides
28,3420
17,3417
22,3417
30,3401
39,3396
24,3394
29,3391
23,3380
2,3374
7,3356
