SkierID,Vertical
36371,9000
28151,8900
15483,8800
12350,8700
32409,8700
6362,8700
17894,8700
27707,8700
35660,8700
21072,8700
33469,8700
31495,8700
36809,8600
1598,8600
34312,8600
8606,8600
39359,8600
2296,8600
25878,8600
9127,8600
33875,8600
9518,8600
18416,8600
898,8600
28850,8600
1136,8500
12683,8500
10552,8500
29116,8500
17347,8500
29558,8500
39216,8500
29939,8500
4484,8500
25359,8500
37411,8500
9242,8500
21617,8500
18167,8500
31302,8500
18320,8500
31910,8500
5056,8500
824,8500
7919,8500
26150,8500
38118,8500
5612,8500
24056,8500
24044,8500
12411,8400
36334,8400
24343,8400
12504,8400
1285,8400
34055,8400
34035,8400
36948,8400
34453,8400
1994,8400
20119,8400
19232,8400
22812,8400
20374,8400
32293,8400
8133,8400
8129,8400
8165,8400
29139,8400
29212,8400
19838,8400
30495,8400
17481,8400
29446,8400
6174,8400
30587,8400
29509,8400
29698,8400
27198,8400
27168,8400
17768,8400
4032,8400
15348,8400
39411,8400
39588,8400
15781,8400
39758,8400
25175,8400
37204,8400
4714,8400
4984,8400
37812,8400
35377,8400
11528,8400
21092,8400
21071,8400
23839,8400
21228,8400
21316,8400
9303,8400
